Date : 2023-12-11 20:32:15
Directory : /Users/rose/Desktop/immersive/ReacType
Total : 219 files,  56891 codes, 2463 comments, 2180 blanks, all 61534 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| app                                                                                                                     |        151 |     17,049 |      1,573 |      1,387 |     20,009 |
| app/.electron                                                                                                           |          8 |        501 |        432 |         58 |        991 |
| app/.electron (Files)                                                                                                   |          5 |        454 |        425 |         43 |        922 |
| app/.electron/preloadFunctions                                                                                          |          3 |         47 |          7 |         15 |         69 |
| app/src                                                                                                                 |        143 |     16,548 |      1,141 |      1,329 |     19,018 |
| app/src (Files)                                                                                                         |          1 |         82 |          5 |         13 |        100 |
| app/src/Dashboard                                                                                                       |          5 |        657 |         49 |         44 |        750 |
| app/src/components                                                                                                      |         72 |      8,232 |        640 |        719 |      9,591 |
| app/src/components (Files)                                                                                              |          1 |         33 |         67 |         14 |        114 |
| app/src/components/ContextAPIManager                                                                                    |         11 |        897 |         34 |         85 |      1,016 |
| app/src/components/ContextAPIManager (Files)                                                                            |          1 |         60 |          0 |          8 |         68 |
| app/src/components/ContextAPIManager/AssignTab                                                                          |          5 |        405 |         17 |         39 |        461 |
| app/src/components/ContextAPIManager/AssignTab (Files)                                                                  |          1 |        114 |          5 |          9 |        128 |
| app/src/components/ContextAPIManager/AssignTab/components                                                               |          4 |        291 |         12 |         30 |        333 |
| app/src/components/ContextAPIManager/CreateTab                                                                          |          4 |        387 |         15 |         32 |        434 |
| app/src/components/ContextAPIManager/CreateTab (Files)                                                                  |          1 |        126 |          4 |         11 |        141 |
| app/src/components/ContextAPIManager/CreateTab/components                                                               |          3 |        261 |         11 |         21 |        293 |
| app/src/components/ContextAPIManager/DisplayTab                                                                         |          1 |         45 |          2 |          6 |         53 |
| app/src/components/StateManagement                                                                                      |         10 |      1,388 |         73 |        105 |      1,566 |
| app/src/components/StateManagement (Files)                                                                              |          1 |         59 |          2 |          9 |         70 |
| app/src/components/StateManagement/CreateTab                                                                            |          5 |        996 |         28 |         57 |      1,081 |
| app/src/components/StateManagement/CreateTab (Files)                                                                    |          1 |         11 |          0 |          4 |         15 |
| app/src/components/StateManagement/CreateTab/components                                                                 |          4 |        985 |         28 |         53 |      1,066 |
| app/src/components/StateManagement/DisplayTab                                                                           |          4 |        333 |         43 |         39 |        415 |
| app/src/components/bottom                                                                                               |          6 |        495 |         23 |         52 |        570 |
| app/src/components/form                                                                                                 |          1 |         53 |          0 |          4 |         57 |
| app/src/components/left                                                                                                 |          9 |      1,121 |         71 |         90 |      1,282 |
| app/src/components/login                                                                                                |          3 |        832 |         40 |         51 |        923 |
| app/src/components/main                                                                                                 |         13 |      1,138 |         94 |        123 |      1,355 |
| app/src/components/marketplace                                                                                          |          3 |        274 |         18 |         34 |        326 |
| app/src/components/right                                                                                                |         11 |      1,362 |        206 |        112 |      1,680 |
| app/src/components/top                                                                                                  |          4 |        639 |         14 |         49 |        702 |
| app/src/constants                                                                                                       |          3 |         21 |          0 |          3 |         24 |
| app/src/containers                                                                                                      |          5 |      1,271 |         38 |         66 |      1,375 |
| app/src/helperFunctions                                                                                                 |         12 |      1,062 |         88 |         65 |      1,215 |
| app/src/interfaces                                                                                                      |          3 |        176 |          5 |         16 |        197 |
| app/src/plugins                                                                                                         |          2 |         83 |          3 |          4 |         90 |
| app/src/public                                                                                                          |          5 |        776 |         60 |        152 |        988 |
| app/src/public (Files)                                                                                                  |          2 |         38 |          0 |          2 |         40 |
| app/src/public/styles                                                                                                   |          3 |        738 |         60 |        150 |        948 |
| app/src/redux                                                                                                           |          8 |      1,573 |        178 |        103 |      1,854 |
| app/src/redux (Files)                                                                                                   |          2 |        263 |         17 |         11 |        291 |
| app/src/redux/reducers                                                                                                  |          6 |      1,310 |        161 |         92 |      1,563 |
| app/src/redux/reducers (Files)                                                                                          |          1 |         14 |          2 |          4 |         20 |
| app/src/redux/reducers/slice                                                                                            |          5 |      1,296 |        159 |         88 |      1,543 |
| app/src/tree                                                                                                            |          2 |        165 |         30 |         13 |        208 |
| app/src/tutorial                                                                                                        |         14 |      1,027 |          2 |         48 |      1,077 |
| app/src/utils                                                                                                           |         11 |      1,423 |         43 |         83 |      1,549 |
| server                                                                                                                  |         19 |      1,362 |        341 |        210 |      1,913 |
| server (Files)                                                                                                          |          4 |        279 |        100 |         75 |        454 |
| server/assets                                                                                                           |          1 |        169 |          0 |         10 |        179 |
| server/controllers                                                                                                      |          6 |        431 |        189 |         48 |        668 |
| server/graphQL                                                                                                          |          3 |        231 |         31 |         38 |        300 |
| server/graphQL/resolvers                                                                                                |          2 |        200 |         23 |         30 |        253 |
| server/graphQL/schema                                                                                                   |          1 |         31 |          8 |          8 |         47 |
| server/models                                                                                                           |          2 |         89 |         19 |         17 |        125 |
| server/routers                                                                                                          |          3 |        163 |          2 |         22 |        187 |
| src                                                                                                                     |          1 |         21 |          1 |          3 |         25 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/rose/Desktop/immersive/ReacType/.eslintrc.json                                                                   | JSON with Comments |         22 |          0 |          1 |         23 |
| /Users/rose/Desktop/immersive/ReacType/.github/workflows/main.yml                                                       | YAML               |         22 |         11 |          8 |         41 |
| /Users/rose/Desktop/immersive/ReacType/.prettierrc                                                                      | JSON               |          5 |          0 |          1 |          6 |
| /Users/rose/Desktop/immersive/ReacType/CHANGE_LOG.md                                                                    | Markdown           |        252 |          0 |         45 |        297 |
| /Users/rose/Desktop/immersive/ReacType/CODE_OF_CONDUCT.md                                                               | Markdown           |         90 |          0 |         36 |        126 |
| /Users/rose/Desktop/immersive/ReacType/Dockerfile                                                                       | Docker             |         19 |          4 |         14 |         37 |
| /Users/rose/Desktop/immersive/ReacType/Dockerrun.aws.json                                                               | JSON               |         18 |          0 |          1 |         19 |
| /Users/rose/Desktop/immersive/ReacType/LICENSE.md                                                                       | Markdown           |          5 |          0 |          5 |         10 |
| /Users/rose/Desktop/immersive/ReacType/README.md                                                                        | Markdown           |        101 |         16 |         52 |        169 |
| /Users/rose/Desktop/immersive/ReacType/__tests__/BottomTabs.test.tsx                                                    | TypeScript JSX     |        207 |          3 |         24 |        234 |
| /Users/rose/Desktop/immersive/ReacType/__tests__/DragAndDrop.test.tsx                                                   | TypeScript JSX     |         69 |          0 |          9 |         78 |
| /Users/rose/Desktop/immersive/ReacType/__tests__/NavBar.test.tsx                                                        | TypeScript JSX     |        222 |         18 |         55 |        295 |
| /Users/rose/Desktop/immersive/ReacType/__tests__/componentReducer.test.ts                                               | TypeScript         |        243 |         36 |         20 |        299 |
| /Users/rose/Desktop/immersive/ReacType/__tests__/contextReducer.test.js                                                 | JavaScript         |        140 |         25 |         31 |        196 |
| /Users/rose/Desktop/immersive/ReacType/__tests__/gql.projects.test.ts                                                   | TypeScript         |        122 |         16 |          6 |        144 |
| /Users/rose/Desktop/immersive/ReacType/__tests__/helper.test.tsx                                                        | TypeScript JSX     |          6 |          0 |          2 |          8 |
| /Users/rose/Desktop/immersive/ReacType/__tests__/marketplace.test.tsx                                                   | TypeScript JSX     |        111 |          3 |         20 |        134 |
| /Users/rose/Desktop/immersive/ReacType/__tests__/playwright/example.spec.ts                                             | TypeScript         |          0 |         13 |          6 |         19 |
| /Users/rose/Desktop/immersive/ReacType/__tests__/projects.test.ts                                                       | TypeScript         |         60 |          9 |          3 |         72 |
| /Users/rose/Desktop/immersive/ReacType/__tests__/server.test.tsx                                                        | TypeScript JSX     |        320 |         58 |         57 |        435 |
| /Users/rose/Desktop/immersive/ReacType/__tests__/signIn.test.tsx                                                        | TypeScript JSX     |         49 |          0 |          3 |         52 |
| /Users/rose/Desktop/immersive/ReacType/__tests__/spec.ts                                                                | TypeScript         |          1 |         26 |          6 |         33 |
| /Users/rose/Desktop/immersive/ReacType/__tests__/stateManagementReducer.test.js                                         | JavaScript         |        267 |         20 |         23 |        310 |
| /Users/rose/Desktop/immersive/ReacType/__tests__/tree.test.tsx                                                          | TypeScript JSX     |        108 |          3 |          3 |        114 |
| /Users/rose/Desktop/immersive/ReacType/__tests__/userAuth.test.ts                                                       | TypeScript         |         79 |        160 |         24 |        263 |
| /Users/rose/Desktop/immersive/ReacType/amplify/.config/project-config.json                                              | JSON               |         17 |          0 |          0 |         17 |
| /Users/rose/Desktop/immersive/ReacType/amplify/README.md                                                                | Markdown           |          7 |          0 |          2 |          9 |
| /Users/rose/Desktop/immersive/ReacType/amplify/backend/auth/reactype24e8d371/cli-inputs.json                            | JSON               |         59 |          0 |          0 |         59 |
| /Users/rose/Desktop/immersive/ReacType/amplify/backend/backend-config.json                                              | JSON               |         35 |          0 |          0 |         35 |
| /Users/rose/Desktop/immersive/ReacType/amplify/backend/storage/ReacTypeMktImg/cli-inputs.json                           | JSON               |         16 |          0 |          0 |         16 |
| /Users/rose/Desktop/immersive/ReacType/amplify/backend/tags.json                                                        | JSON               |         10 |          0 |          0 |         10 |
| /Users/rose/Desktop/immersive/ReacType/amplify/backend/types/amplify-dependent-resources-ref.d.ts                       | TypeScript         |         19 |          0 |          0 |         19 |
| /Users/rose/Desktop/immersive/ReacType/amplify/cli.json                                                                 | JSON               |         63 |          0 |          0 |         63 |
| /Users/rose/Desktop/immersive/ReacType/amplify/hooks/README.md                                                          | Markdown           |          4 |          0 |          4 |          8 |
| /Users/rose/Desktop/immersive/ReacType/app/.electron/main.js                                                            | JavaScript         |        136 |        356 |         22 |        514 |
| /Users/rose/Desktop/immersive/ReacType/app/.electron/menu.js                                                            | JavaScript         |        230 |         29 |          8 |        267 |
| /Users/rose/Desktop/immersive/ReacType/app/.electron/preload.js                                                         | JavaScript         |         30 |         22 |          3 |         55 |
| /Users/rose/Desktop/immersive/ReacType/app/.electron/preloadFunctions/chooseAppDir.js                                   | JavaScript         |         17 |          4 |          5 |         26 |
| /Users/rose/Desktop/immersive/ReacType/app/.electron/preloadFunctions/cookies.js                                        | JavaScript         |         19 |          0 |          7 |         26 |
| /Users/rose/Desktop/immersive/ReacType/app/.electron/preloadFunctions/format.js                                         | JavaScript         |         11 |          3 |          3 |         17 |
| /Users/rose/Desktop/immersive/ReacType/app/.electron/protocol.js                                                        | JavaScript         |         50 |         17 |          9 |         76 |
| /Users/rose/Desktop/immersive/ReacType/app/.electron/render.js                                                          | JavaScript         |          8 |          1 |          1 |         10 |
| /Users/rose/Desktop/immersive/ReacType/app/src/Dashboard/NavbarDash.tsx                                                 | TypeScript JSX     |        167 |          8 |          2 |        177 |
| /Users/rose/Desktop/immersive/ReacType/app/src/Dashboard/Project.tsx                                                    | TypeScript JSX     |        208 |         15 |          7 |        230 |
| /Users/rose/Desktop/immersive/ReacType/app/src/Dashboard/ProjectContainer.tsx                                           | TypeScript JSX     |        155 |         24 |         12 |        191 |
| /Users/rose/Desktop/immersive/ReacType/app/src/Dashboard/gqlStrings.ts                                                  | TypeScript         |         51 |          2 |          6 |         59 |
| /Users/rose/Desktop/immersive/ReacType/app/src/Dashboard/styles.css                                                     | CSS                |         76 |          0 |         17 |         93 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/App.tsx                                                       | TypeScript JSX     |         33 |         67 |         14 |        114 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/AssignTab/AssignContainer.tsx               | TypeScript JSX     |        114 |          5 |          9 |        128 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/AssignTab/components/ComponentDropDrown.tsx | TypeScript JSX     |         90 |          5 |         10 |        105 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/AssignTab/components/ComponentTable.tsx     | TypeScript JSX     |         48 |          1 |          3 |         52 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/AssignTab/components/ContextDropDown.tsx    | TypeScript JSX     |         87 |          5 |         11 |        103 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/AssignTab/components/ContextTable.tsx       | TypeScript JSX     |         66 |          1 |          6 |         73 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/ContextManager.tsx                          | TypeScript JSX     |         60 |          0 |          8 |         68 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/CreateTab/CreateContainer.tsx               | TypeScript JSX     |        126 |          4 |         11 |        141 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/CreateTab/components/AddContextForm.tsx     | TypeScript JSX     |        138 |          7 |         11 |        156 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/CreateTab/components/AddDataForm.tsx        | TypeScript JSX     |         59 |          3 |          6 |         68 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/CreateTab/components/DataTable.tsx          | TypeScript JSX     |         64 |          1 |          4 |         69 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/ContextAPIManager/DisplayTab/DisplayContainer.tsx             | TypeScript JSX     |         45 |          2 |          6 |         53 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/CreateTab/CreateContainer.tsx                 | TypeScript JSX     |         11 |          0 |          4 |         15 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/CreateTab/components/StatePropsPanel.tsx      | TypeScript JSX     |        582 |         12 |         21 |        615 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/CreateTab/components/TableParentProps.tsx     | TypeScript JSX     |        136 |          5 |         13 |        154 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/CreateTab/components/TablePassedInProps.tsx   | TypeScript JSX     |        127 |          7 |          9 |        143 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/CreateTab/components/TableStateProps.tsx      | TypeScript JSX     |        140 |          4 |         10 |        154 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/DisplayTab/DataTable.tsx                      | TypeScript JSX     |         99 |          4 |          8 |        111 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/DisplayTab/DisplayContainer.tsx               | TypeScript JSX     |         63 |          6 |          6 |         75 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/DisplayTab/Tree.tsx                           | TypeScript JSX     |        152 |         31 |         22 |        205 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/DisplayTab/useResizeObserver.ts               | TypeScript         |         19 |          2 |          3 |         24 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/StateManagement/StateManagement.tsx                           | TypeScript JSX     |         59 |          2 |          9 |         70 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/bottom/BottomPanel.tsx                                        | TypeScript JSX     |         48 |          5 |         14 |         67 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/bottom/BottomTabs.tsx                                         | TypeScript JSX     |        207 |          5 |          8 |        220 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/bottom/CodePreview.tsx                                        | TypeScript JSX     |         99 |          7 |         14 |        120 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/bottom/CreationPanel.tsx                                      | TypeScript JSX     |         15 |          2 |          3 |         20 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/bottom/StylesEditor.tsx                                       | TypeScript JSX     |         67 |          3 |          9 |         79 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/bottom/UseStateModal.tsx                                      | TypeScript JSX     |         59 |          1 |          4 |         64 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/form/Selector.tsx                                             | TypeScript JSX     |         53 |          0 |          4 |         57 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/left/ComponentDrag.tsx                                        | TypeScript JSX     |         64 |          4 |          5 |         73 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/left/ComponentsContainer.tsx                                  | TypeScript JSX     |         57 |          0 |          5 |         62 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/left/ContentArea.tsx                                          | TypeScript JSX     |         40 |          0 |          5 |         45 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/left/DragDropPanel.tsx                                        | TypeScript JSX     |        102 |         14 |          5 |        121 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/left/ElementsContainer.tsx                                    | TypeScript JSX     |         51 |          1 |          8 |         60 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/left/HTMLItem.tsx                                             | TypeScript JSX     |        142 |          8 |          8 |        158 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/left/HTMLPanel.tsx                                            | TypeScript JSX     |        328 |         17 |         27 |        372 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/left/RoomsContainer.tsx                                       | TypeScript JSX     |        256 |         27 |         19 |        302 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/left/Sidebar.tsx                                              | TypeScript JSX     |         81 |          0 |          8 |         89 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/login/FBPassWord.tsx                                          | TypeScript JSX     |        190 |          2 |         14 |        206 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/login/SignIn.tsx                                              | TypeScript JSX     |        326 |         36 |         21 |        383 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/login/SignUp.tsx                                              | TypeScript JSX     |        316 |          2 |         16 |        334 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/main/AddLink.tsx                                              | TypeScript JSX     |         98 |          1 |          6 |        105 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/main/AddRoute.tsx                                             | TypeScript JSX     |         27 |          0 |          4 |         31 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/main/Arrow.tsx                                                | TypeScript JSX     |         82 |          0 |          6 |         88 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/main/Canvas.tsx                                               | TypeScript JSX     |        122 |         22 |         12 |        156 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/main/CanvasContainer.tsx                                      | TypeScript JSX     |         46 |          2 |          8 |         56 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/main/DeleteButton.tsx                                         | TypeScript JSX     |         29 |          0 |          7 |         36 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/main/DemoRender.tsx                                           | TypeScript JSX     |        201 |         14 |         21 |        236 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/main/DirectChildComponent.tsx                                 | TypeScript JSX     |         66 |          8 |          8 |         82 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/main/DirectChildHTML.tsx                                      | TypeScript JSX     |         68 |          7 |         12 |         87 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/main/DirectChildHTMLNestable.tsx                              | TypeScript JSX     |        170 |         18 |         17 |        205 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/main/IndirectChild.tsx                                        | TypeScript JSX     |         46 |          2 |          4 |         52 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/main/RouteLink.tsx                                            | TypeScript JSX     |         65 |          7 |          5 |         77 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/main/SeparatorChild.tsx                                       | TypeScript JSX     |        118 |         13 |         13 |        144 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/marketplace/MarketplaceCard.tsx                               | TypeScript JSX     |        209 |          4 |         14 |        227 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/marketplace/MarketplaceCardContainer.tsx                      | TypeScript JSX     |         24 |          0 |          4 |         28 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/marketplace/Searchbar.tsx                                     | TypeScript JSX     |         41 |         14 |         16 |         71 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/right/ComponentPanel.tsx                                      | TypeScript JSX     |        322 |         19 |         17 |        358 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/right/ComponentPanelItem.tsx                                  | TypeScript JSX     |         76 |         12 |          2 |         90 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/right/ComponentPanelRoutingItem.tsx                           | TypeScript JSX     |         98 |         27 |         10 |        135 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/right/DeleteProjects.tsx                                      | TypeScript JSX     |        170 |          5 |         11 |        186 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/right/ExportButton.tsx                                        | TypeScript JSX     |         83 |        109 |         21 |        213 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/right/LoginButton.tsx                                         | TypeScript JSX     |         87 |          3 |         12 |        102 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/right/OpenProjects.tsx                                        | TypeScript JSX     |        155 |          5 |          5 |        165 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/right/ProjectManager.tsx                                      | TypeScript JSX     |        137 |         21 |         18 |        176 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/right/SaveProjectButton.tsx                                   | TypeScript JSX     |         97 |          5 |          7 |        109 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/right/SimpleModal.tsx                                         | TypeScript JSX     |        102 |          0 |          5 |        107 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/right/createModal.tsx                                         | TypeScript JSX     |         35 |          0 |          4 |         39 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/top/NavBar.tsx                                                | TypeScript JSX     |        258 |          0 |         15 |        273 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/top/NavBarButtons.tsx                                         | TypeScript JSX     |        250 |         14 |         20 |        284 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/top/NewExportButton.tsx                                       | TypeScript JSX     |         79 |          0 |         11 |         90 |
| /Users/rose/Desktop/immersive/ReacType/app/src/components/top/PublishModal.tsx                                          | TypeScript JSX     |         52 |          0 |          3 |         55 |
| /Users/rose/Desktop/immersive/ReacType/app/src/constants/ErrorMessages.ts                                               | TypeScript         |         10 |          0 |          1 |         11 |
| /Users/rose/Desktop/immersive/ReacType/app/src/constants/ItemTypes.ts                                                   | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/rose/Desktop/immersive/ReacType/app/src/constants/Styling.ts                                                     | TypeScript         |          6 |          0 |          1 |          7 |
| /Users/rose/Desktop/immersive/ReacType/app/src/containers/AppContainer.tsx                                              | TypeScript JSX     |         49 |          3 |          8 |         60 |
| /Users/rose/Desktop/immersive/ReacType/app/src/containers/CustomizationPanel.tsx                                        | TypeScript JSX     |      1,016 |         29 |         25 |      1,070 |
| /Users/rose/Desktop/immersive/ReacType/app/src/containers/LeftContainer.tsx                                             | TypeScript JSX     |         21 |          0 |          5 |         26 |
| /Users/rose/Desktop/immersive/ReacType/app/src/containers/MainContainer.tsx                                             | TypeScript JSX     |        109 |          6 |         14 |        129 |
| /Users/rose/Desktop/immersive/ReacType/app/src/containers/MarketplaceContainer.tsx                                      | TypeScript JSX     |         76 |          0 |         14 |         90 |
| /Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/auth.ts                                                  | TypeScript         |         67 |          5 |          5 |         77 |
| /Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/changePositionValidation.ts                              | TypeScript         |         40 |          4 |          3 |         47 |
| /Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/cloneDeep.ts                                             | TypeScript         |         28 |          1 |          1 |         30 |
| /Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/combineStyles.ts                                         | TypeScript         |         12 |          3 |          1 |         16 |
| /Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/componentNestValidation.ts                               | TypeScript         |         11 |          3 |          2 |         16 |
| /Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/cssRefresh.tsx                                           | TypeScript JSX     |         14 |          2 |          3 |         19 |
| /Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/generateCode.ts                                          | TypeScript         |        526 |         35 |         23 |        584 |
| /Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/manageSeparators.ts                                      | TypeScript         |         82 |         11 |          5 |         98 |
| /Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/projectGetSaveDel.ts                                     | TypeScript         |        124 |          3 |         14 |        141 |
| /Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/randomPassword.ts                                        | TypeScript         |         20 |          0 |          2 |         22 |
| /Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/renderChildren.tsx                                       | TypeScript JSX     |        115 |         13 |          3 |        131 |
| /Users/rose/Desktop/immersive/ReacType/app/src/helperFunctions/zipFiles.ts                                              | TypeScript         |         23 |          8 |          3 |         34 |
| /Users/rose/Desktop/immersive/ReacType/app/src/index.tsx                                                                | TypeScript JSX     |         82 |          5 |         13 |        100 |
| /Users/rose/Desktop/immersive/ReacType/app/src/interfaces/Interfaces.ts                                                 | TypeScript         |        164 |          5 |         13 |        182 |
| /Users/rose/Desktop/immersive/ReacType/app/src/interfaces/declarations.d.ts                                             | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/rose/Desktop/immersive/ReacType/app/src/interfaces/global.ts                                                     | TypeScript         |          7 |          0 |          2 |          9 |
